Jsc,Voc,FF,Efficiency,Rs,Rp,Rate,Temp,Voc_Jsc_Ratio,Rp_Ps_Ratio,Voc2,Class
10.25,447.35,54.58,2.5,18.25,1966.84,200,700,43.64,107.7721,200122.02,4
13.08,426.13,55.2,3.08,8.52,1276.39,200,600,32.58,149.811,181586.78,3
8.49,374.57,56.92,1.81,10.16,661.33,200,500,44.12,65.0915,140302.68,3
13.87,482.47,64.13,4.29,6.51,3238.56,200,650,34.79,497.4747,232777.3,3
13.59,510.09,70.42,4.88,5.19,6021.88,200,550,37.53,1160.2852,260191.81,2
22.44,445.61,42.66,4.27,7.97,43.73,200,700,19.86,5.4868,198568.27,3
5.41,201.96,38.88,0.42,15.49,76.25,200,550,37.33,4.9225,40787.84,4
5.61,214.45,43.29,0.52,15.54,201.9,200,550,38.23,12.9923,45988.8,5
16.94,299.76,25.3,1.28,17.06,0.92,200,450,17.7,0.0539,89856.06,1
1.13,14.98,22.54,0.0,13.19,0.02,200,450,13.26,0.0015,224.4,4
13.59,483.53,60.14,3.95,6.29,4001.04,200,550,35.58,636.0954,233801.26,2
13.78,522.39,69.1,4.97,3.02,1758.23,200,600,37.91,582.1954,272891.31,1
12.77,448.72,63.58,3.64,5.31,1878.89,200,650,35.14,353.8399,201349.64,3
13.57,506.94,71.51,4.92,3.94,5373.08,200,550,37.36,1363.7259,256988.16,2
7.43,149.73,40.43,0.45,8.17,55.31,200,500,20.15,6.7699,22419.07,2
13.19,428.55,57.23,3.23,7.38,1402.14,200,600,32.49,189.9919,183655.1,3
14.33,544.56,75.79,5.91,4.09,77860.21,200,700,38.0,19036.7262,296545.59,2
5.82,79.71,25.13,0.12,13.45,0.18,200,450,13.7,0.0134,6353.68,2
6.82,126.77,33.33,0.29,10.96,21.7,200,500,18.59,1.9799,16070.63,2
11.51,275.06,44.53,1.41,7.35,106.44,200,450,23.9,14.4816,75658.0,3
5.16,317.92,47.49,0.78,21.36,506.53,200,550,61.61,23.714,101073.13,4
11.79,464.74,59.45,3.26,11.01,2669.23,200,700,39.42,242.4369,215983.27,3
13.94,519.38,72.7,5.26,4.57,8460.22,200,550,37.26,1851.2516,269755.58,2
14.52,447.07,59.65,3.87,6.47,9716.24,200,450,30.79,1501.7372,199871.58,1
12.98,426.37,39.48,2.19,9.13,74.67,200,650,32.85,8.1785,181791.38,4
13.13,518.54,71.92,4.9,5.28,7083.52,200,700,39.49,1341.5758,268883.73,2
13.72,480.01,63.95,4.21,6.5,3086.54,200,650,34.99,474.8523,230409.6,3
12.63,497.79,68.04,4.28,12.12,3488.8,200,500,39.41,287.8548,247794.88,2
6.39,150.51,31.53,0.3,14.82,21.41,200,450,23.55,1.4447,22653.26,4
10.56,400.84,56.09,2.37,10.8,721.43,200,550,37.96,66.7991,160672.71,3
14.32,553.51,75.76,6.0,2.87,17605.99,200,600,38.65,6134.4913,306373.32,1
5.61,213.11,41.14,0.49,17.2,165.88,200,550,37.99,9.6442,45415.87,5
12.94,442.45,59.19,3.39,7.65,1691.95,200,600,34.19,221.1699,195762.0,3
10.77,275.15,48.31,1.43,6.28,158.69,200,450,25.55,25.2691,75707.52,3
5.62,215.46,43.44,0.53,15.41,204.0,200,550,38.34,13.2382,46423.01,5
14.36,569.61,78.34,6.41,2.72,104744.9,200,600,39.67,38509.1544,324455.55,1
10.66,279.43,36.04,1.07,16.24,56.14,200,450,26.21,3.4569,78081.12,3
13.17,441.09,60.87,3.54,6.69,1762.5,200,600,33.49,263.4529,194560.39,3
5.1,215.77,33.13,0.36,27.08,59.71,200,500,42.31,2.2049,46556.69,5
10.85,276.9,42.83,1.29,8.81,91.59,200,450,25.52,10.3961,76673.61,3
13.04,429.32,57.38,3.21,7.49,1372.89,200,600,32.92,183.2964,184315.66,3
6.05,133.55,26.13,0.21,20.31,3.8,200,450,22.07,0.1871,17835.6,2
13.77,475.23,67.14,4.39,4.5,6129.2,200,500,34.51,1362.0444,225843.55,1
14.49,574.71,78.71,6.55,2.52,42574.2,200,600,39.66,16894.5238,330291.58,1
14.0,511.59,65.49,4.69,4.61,4089.75,200,500,36.54,887.1475,261724.33,1
10.4,280.94,33.29,0.97,21.22,42.37,200,450,27.01,1.9967,78927.28,3
6.86,272.25,32.87,0.61,20.27,43.58,200,500,39.69,2.15,74120.06,4
7.09,145.82,38.52,0.4,9.4,47.47,200,500,20.57,5.05,21263.47,2
13.13,518.54,71.92,4.9,5.28,7083.52,200,450,39.49,1341.5758,268883.73,5
14.99,568.12,72.9,6.21,3.95,28829.6,200,650,37.9,7298.6329,322760.33,1
10.71,185.67,33.44,0.66,9.7,19.37,200,450,17.34,1.9969,34473.35,3
13.67,523.32,76.35,5.46,3.28,9004.15,200,450,38.28,2745.1677,273863.82,5
14.78,515.16,69.0,5.25,3.69,60393.21,200,550,34.86,16366.7236,265389.83,1
4.63,105.74,32.9,0.16,13.33,21.44,200,500,22.84,1.6084,11180.95,4
12.68,502.11,56.15,3.58,7.36,189.2,200,600,39.6,25.7065,252114.45,2
4.85,310.43,52.42,0.79,17.6,563.26,200,500,64.01,32.0034,96366.78,4
12.04,470.3,60.58,3.43,10.05,2590.3,200,700,39.06,257.7413,221182.09,3
14.58,538.05,48.6,3.81,25.12,8838.81,200,450,36.9,351.8635,289497.8,1
13.12,440.89,60.08,3.47,7.35,1754.22,200,600,33.6,238.6694,194383.99,3
13.4,478.43,64.94,4.16,6.24,3183.02,200,650,35.7,510.0994,228895.26,3
12.61,498.32,70.18,4.41,8.11,3689.16,200,500,39.52,454.8903,248322.82,2
13.8,543.13,75.41,5.65,3.64,10962.68,200,600,39.36,3011.7253,294990.2,2
14.09,383.25,48.39,2.61,6.84,140.98,200,550,27.2,20.6111,146880.56,1
13.68,548.51,76.84,5.76,3.95,36090.37,200,600,40.1,9136.8025,300863.22,2
14.42,457.19,67.46,4.45,3.52,5925.49,200,550,31.71,1683.3778,209022.7,1
10.99,408.0,54.65,2.45,12.53,759.68,200,550,37.12,60.6289,166464.0,3
10.5,403.3,56.55,2.39,10.51,719.17,200,550,38.41,68.4272,162650.89,3
14.67,486.6,67.91,4.85,3.79,49536.2,200,550,33.17,13070.2375,236779.56,1
14.54,568.99,78.11,6.46,2.79,3248948.0,200,500,39.13,1164497.491,323749.62,1
10.51,443.03,61.34,2.86,10.02,1247.46,200,600,42.15,124.497,196275.58,4
13.47,479.02,64.84,4.18,6.2,2983.74,200,650,35.56,481.2484,229460.16,3
14.97,565.69,70.96,6.01,4.57,60764.11,200,650,37.79,13296.3042,320005.18,1
11.77,462.76,59.72,3.25,10.1,2448.28,200,700,39.32,242.404,214146.82,3
11.76,471.91,57.51,3.19,15.77,3224.08,200,700,40.13,204.4439,222699.05,4
14.14,550.1,71.02,5.52,5.1,14534.73,200,450,38.9,2849.9471,302610.01,5
12.13,474.29,60.41,3.47,10.66,3085.31,200,700,39.1,289.4287,224951.0,3
14.26,535.53,50.12,3.83,24.08,7801.2,200,450,37.55,323.9701,286792.38,1
10.62,250.27,39.18,1.04,9.41,57.29,200,450,23.57,6.0882,62635.07,3
6.07,159.52,26.69,0.26,23.1,7.02,200,450,26.28,0.3039,25446.63,2
1.02,67.34,24.48,0.02,67.47,2.97,200,450,66.02,0.044,4534.68,4
14.14,550.1,71.02,5.52,5.1,14534.73,200,700,38.9,2849.9471,302610.01,2
14.02,534.32,76.12,5.7,3.76,18075.18,200,450,38.11,4807.2287,285497.86,5
13.09,380.24,26.64,1.33,24.77,7.36,200,700,29.05,0.2971,144582.46,1
5.95,221.02,39.82,0.52,18.26,146.3,200,500,37.15,8.012,48849.84,5
10.44,449.78,59.88,2.81,10.18,1911.77,200,700,43.08,187.7967,202302.05,3
10.84,448.9,60.16,2.93,11.73,1235.25,200,600,41.41,105.3069,201511.21,4
13.82,484.45,64.18,4.3,6.67,3312.75,200,650,35.05,496.6642,234691.8,3
10.37,272.72,48.98,1.39,6.25,180.68,200,450,26.3,28.9088,74376.2,3
12.42,493.54,68.25,4.18,11.78,3185.22,200,500,39.74,270.3922,243581.73,2
11.75,475.06,66.3,3.7,6.28,2980.76,200,650,40.43,474.6433,225682.0,4
11.29,460.24,57.13,2.97,16.58,1462.58,200,600,40.77,88.2135,211820.86,4
12.03,513.05,71.29,4.4,3.5,4335.99,200,700,42.65,1238.8543,263220.3,1
14.33,544.56,75.79,5.91,4.09,77860.21,200,450,38.0,19036.7262,296545.59,5
12.41,491.98,67.64,4.13,6.1,2272.78,200,650,39.64,372.5869,242044.32,4
10.85,281.2,41.53,1.27,9.71,77.61,200,450,25.92,7.9928,79073.44,3
8.5,374.94,57.64,1.84,9.43,643.58,200,500,44.11,68.2481,140580.0,3
6.22,141.29,31.08,0.27,14.51,18.55,200,450,22.72,1.2784,19962.86,4
14.92,553.6,70.26,5.8,4.14,15938.88,200,650,37.1,3849.971,306472.96,1
14.75,565.71,74.29,6.2,4.17,12532.03,200,700,38.35,3005.283,320027.8,2
8.41,367.31,57.94,1.79,8.48,542.26,200,500,43.68,63.9458,134916.64,3
5.33,351.3,59.25,1.11,10.77,796.96,200,550,65.91,73.9981,123411.69,4
5.1,223.73,38.79,0.44,21.46,131.41,200,600,43.87,6.1235,50055.11,5
13.67,523.32,76.35,5.46,3.28,9004.15,200,700,38.28,2745.1677,273863.82,2
14.89,384.93,55.77,3.2,6.28,2922.32,200,650,25.85,465.3376,148171.1,1
6.16,219.8,38.31,0.52,18.64,121.52,200,500,35.68,6.5193,48312.04,5
5.0,312.75,53.58,0.84,16.13,575.41,200,500,62.55,35.6733,97812.56,4
0.86,65.31,24.98,0.01,75.17,0.63,200,450,75.94,0.0084,4265.4,4
6.98,69.64,24.85,0.12,9.61,0.49,200,450,9.98,0.051,4849.73,2
0.63,6.32,0.0,0.0,10.07,0.05,200,450,10.03,0.005,39.94,4
4.94,231.12,44.47,0.51,18.15,277.65,200,600,46.79,15.2975,53416.45,5
13.88,543.27,53.88,4.06,26.62,4195.96,200,600,39.14,157.6243,295142.29,1
6.07,109.66,28.85,0.19,13.16,8.59,200,450,18.07,0.6527,12025.32,4
11.65,463.28,61.24,3.31,9.12,2454.54,200,700,39.77,269.1382,214628.36,3
12.31,488.81,68.99,4.15,6.08,4229.91,200,650,39.71,695.7089,238935.22,4
10.75,399.99,51.74,2.23,13.65,533.54,200,550,37.21,39.0872,159992.0,3
0.8,64.86,24.2,0.01,84.54,7.1,200,450,81.07,0.084,4206.82,4
14.2,447.16,66.78,4.24,3.63,4131.67,200,550,31.49,1138.2011,199952.07,1
5.56,207.6,40.83,0.47,21.23,126.2,200,550,37.34,5.9444,43097.76,5
10.23,282.57,49.6,1.43,8.54,552.07,200,600,27.62,64.6452,79845.8,2
13.15,457.12,62.97,3.79,5.54,2220.54,200,650,34.76,400.8195,208958.69,3
14.61,488.79,67.92,4.85,3.9,21310.39,200,550,33.46,5464.2026,238915.66,1
6.46,211.67,35.35,0.48,19.44,74.16,200,500,32.77,3.8148,44804.19,5
11.4,248.53,38.53,1.09,8.92,45.23,200,450,21.8,5.0706,61767.16,3
1.1,69.93,24.13,0.02,66.23,3.96,200,450,63.57,0.0598,4890.2,4
12.54,431.53,58.07,3.14,5.03,858.65,200,500,34.41,170.7058,186218.14,1
14.72,562.93,76.48,6.34,3.22,31409.97,200,700,38.24,9754.6491,316890.18,2
14.54,563.76,76.07,6.23,3.03,31612.66,200,500,38.77,10433.2211,317825.34,1
6.91,128.24,25.48,0.23,17.65,1.55,200,450,18.56,0.0878,16445.5,2
9.13,435.18,55.18,2.19,17.32,831.57,200,700,47.66,48.0121,189381.63,4
13.66,518.41,71.31,5.05,5.71,8872.11,200,550,37.95,1553.7846,268748.93,2
12.06,484.47,68.53,4.0,6.22,4056.18,200,650,40.17,652.119,234711.18,4
5.14,290.21,43.86,0.65,26.52,279.09,200,550,56.46,10.5238,84221.84,4
13.74,513.99,73.55,5.2,3.82,8118.63,200,550,37.41,2125.2958,264185.72,2
4.73,225.59,36.43,0.39,25.54,101.81,200,600,47.69,3.9863,50890.85,5
10.31,402.98,53.59,2.23,13.22,714.49,200,550,39.09,54.0461,162392.88,3
6.04,219.97,39.08,0.52,18.35,133.47,200,500,36.42,7.2736,48386.8,5
5.42,24.52,24.95,0.03,4.31,0.04,200,500,4.52,0.0093,601.23,4
6.04,189.8,28.34,0.33,24.92,17.79,200,450,31.42,0.7139,36024.04,2
8.74,377.42,57.71,1.9,9.25,650.02,200,500,43.18,70.2724,142445.86,3
11.7,457.29,57.23,3.06,13.2,2367.56,200,700,39.08,179.3606,209114.14,4
13.16,203.46,39.07,1.05,7.61,43.01,200,700,15.46,5.6518,41395.97,1
5.97,411.4,54.04,1.33,12.11,525.57,200,450,68.91,43.3997,169249.96,2
