Class,Voc_Jsc_Ratio,Rp_Ps_Ratio
3,17.34,1.7264
3,21.8,0.8519
3,23.9,0.4184
3,23.57,0.6839
3,25.52,0.4676
3,25.76,0.5447
3,26.21,0.642
3,26.3,0.2711
3,25.92,0.5351
3,26.62,0.5904
3,27.01,0.7857
3,25.55,0.3044
3,44.12,0.0861
3,44.11,0.0896
3,43.18,0.0888
3,42.13,0.1127
3,43.9,0.1121
3,43.68,0.1068
3,38.82,0.0758
3,39.08,0.0769
3,39.09,0.075
3,37.21,0.097
3,37.96,0.0777
3,38.41,0.0786
3,38.24,0.0734
3,37.12,0.0719
3,32.49,0.0408
3,33.49,0.0345
3,33.6,0.0342
3,33.96,0.0377
3,32.34,0.0463
3,32.58,0.0432
3,32.92,0.0418
3,34.19,0.035
3,35.05,0.0194
3,34.79,0.0198
3,34.99,0.0207
3,34.76,0.0284
3,35.13,0.024
3,35.56,0.0217
3,35.7,0.0204
3,35.14,0.0338
3,19.86,0.9755
3,39.1,0.0196
3,39.06,0.0234
3,42.83,0.0344
3,39.42,0.0223
3,39.32,0.0244
3,39.77,0.0249
3,43.08,0.0313
4,10.03,-0.0
4,13.26,1127.0
4,63.57,-6.0934
4,66.02,-8.2424
4,75.94,39.6508
4,80.95,-3.094
4,77.71,-2.4969
4,81.07,-3.4085
4,18.07,3.3586
4,22.72,1.6755
4,15.41,5.961
4,23.55,1.4727
4,39.69,0.7542
4,62.55,0.0931
4,64.01,0.0931
4,54.45,0.7849
4,64.63,0.0876
4,63.54,0.0906
4,64.44,0.0893
4,25.62,1.2942
4,22.84,1.5345
4,4.52,-623.75
4,65.91,0.0743
4,64.62,0.0872
4,56.46,0.1572
4,37.33,0.5099
4,68.59,0.0728
4,61.61,0.0938
4,65.87,0.0751
4,65.93,0.0769
4,41.41,0.0487
4,42.15,0.0492
4,41.19,0.0477
4,40.77,0.0391
4,26.3,1.6186
4,32.85,0.5287
4,39.14,0.0135
4,40.17,0.0169
4,39.71,0.0163
4,39.64,0.0298
4,39.66,0.021
4,40.43,0.0222
4,39.08,0.0242
4,39.47,0.0231
4,40.13,0.0178
4,42.25,0.0288
4,42.1,0.0221
4,42.69,0.028
4,43.64,0.0278
4,47.66,0.0664
2,42.21,0.6363
2,13.7,139.6111
2,68.91,0.1028
2,18.56,16.4387
2,22.07,6.8763
2,26.28,3.802
2,31.42,1.593
2,9.98,50.7143
2,39.52,0.019
2,39.41,0.0195
2,39.74,0.0214
2,43.61,0.0809
2,18.59,1.5359
2,20.57,0.8115
2,20.15,0.731
2,36.86,0.0096
2,37.95,0.008
2,37.26,0.0086
2,37.09,0.0096
2,37.36,0.0133
2,37.53,0.0117
2,37.41,0.0091
2,35.58,0.015
2,40.1,0.0021
2,39.75,0.0041
2,39.36,0.0069
2,39.6,0.2968
2,39.43,0.0116
2,34.96,0.027
2,27.62,0.0898
2,38.24,0.0024
2,38.35,0.0059
2,38.58,0.0011
2,38.9,0.0049
2,38.28,0.0085
2,38.11,0.0042
2,38.0,0.001
2,39.49,0.0102
1,21.47,13.8798
1,17.7,27.5
1,37.7,0.0057
1,37.55,0.0064
1,36.9,0.0055
1,34.74,0.0155
1,31.22,0.4392
1,30.79,0.0061
1,38.33,0.0037
1,36.54,0.016
1,34.51,0.011
1,34.41,0.0676
1,39.13,0.0
1,38.77,0.0024
1,39.32,0.0012
1,35.35,0.2813
1,33.17,0.0014
1,35.16,0.0055
1,34.86,0.0011
1,33.46,0.0032
1,27.2,0.3432
1,31.71,0.0114
1,31.49,0.0162
1,31.88,0.0147
1,39.67,0.0007
1,38.61,0.0042
1,38.65,0.0043
1,37.91,0.0393
1,39.66,0.0018
1,39.89,0.0046
1,39.79,0.0012
1,39.14,0.0128
1,25.85,0.0191
1,37.79,0.0012
1,37.9,0.0025
1,36.53,0.0081
1,37.53,0.0049
1,37.1,0.0044
1,38.17,0.0001
1,37.34,0.0044
1,29.05,3.6196
1,15.46,0.9084
1,42.65,0.0164
1,44.65,0.0131
5,38.9,0.0049
5,38.28,0.0085
5,38.11,0.0042
5,38.0,0.001
5,39.49,0.0102
5,35.68,0.3153
5,36.42,0.2928
5,37.15,0.2722
5,37.85,0.2655
5,33.7,0.4169
5,32.77,0.4767
5,34.24,0.4139
5,42.31,0.5548
5,37.99,0.248
5,37.34,0.3235
5,38.23,0.2144
5,38.34,0.2129
5,38.55,0.6454
5,46.79,0.1602
5,44.56,0.2663
5,43.87,0.2952
5,47.69,0.3578
1,47.43,0.0033
1,47.58,0.0043
1,47.59,0.0025
1,47.66,0.0022
1,47.8,0.0022
1,48.06,0.0501
1,48.06,0.0015
1,47.95,0.002
1,55.11,0.0297
1,51.7,0.0221
1,48.82,0.0165
1,48.39,0.0178
1,50.16,0.0071
1,52.26,0.0034
1,52.94,0.0027
1,49.44,0.0087
1,50.72,0.0044
1,48.96,0.0125
1,48.21,0.0103
1,47.69,0.0101
1,51.55,0.0026
1,52.29,0.0018
1,52.3,0.0019
1,46.11,0.01
1,47.0,0.0127
1,46.9,0.0104
1,47.3,0.011
1,47.05,0.0124
1,46.52,0.012
1,46.76,0.01
1,46.74,0.0088
1,47.05,0.0107
1,46.88,0.0099
1,46.96,0.0099
1,47.79,0.0148
1,43.3,0.071
1,45.56,0.005
1,45.49,0.0032
1,45.63,0.0054
1,42.97,0.0594
5,45.61,0.0998
5,46.13,0.0893
5,45.33,0.0892
5,48.56,0.0941
5,47.84,0.0794
5,47.41,0.0844
5,49.73,0.0798
5,51.23,0.0844
5,73.66,0.0552
5,71.58,0.0538
5,69.43,0.0544
5,68.9,0.0545
5,67.65,0.0659
5,66.44,0.0638
5,66.1,0.0638
5,64.52,0.0641
5,57.83,0.0651
5,61.21,0.0561
5,62.35,0.057
5,61.75,0.0593
5,54.18,0.074
5,56.93,0.0659
5,57.87,0.0646
5,57.82,0.0689
5,64.12,0.0517
5,64.93,0.0501
5,64.01,0.0516
5,61.93,0.0514
5,65.09,0.0512
5,65.07,0.0504
5,63.89,0.0539
5,61.08,0.0587
5,61.19,0.1371
5,63.49,0.1782
5,64.09,0.1647
5,64.1,0.1544
5,58.55,0.0906
5,61.49,0.1236
5,62.42,0.1577
5,63.08,0.0991
