Triangle,Max_Length,Defect_Formation_Time_Seconds
1,0.6,2100.0
2,0.198,2703.0
3,0.953,1570.5
4,1.064,1404.0
5,0.263,2605.5
6,1.033,1450.5
7,0.386,2421.0
8,0.378,2433.0
9,0.675,1987.5
10,0.259,2611.5
11,0.547,2179.5
12,0.256,2616.0
13,1.144,1284.0
14,0.198,2703.0
15,0.589,2116.5
16,1.354,969.0
17,1.226,1161.0
18,0.037,2944.5
19,0.198,2703.0
21,0.386,2421.0
22,1.747,379.5
23,0.88,1680.0
24,1.663,505.5
25,0.644,2034.0
26,0.614,2079.0
27,1.963,55.5
28,1.903,145.5
29,0.869,1696.5
30,1.389,916.5
31,1.361,958.5
32,0.283,2575.5
33,0.557,2164.5
34,1.34,990.0
35,1.992,12.0
36,1.739,391.5
37,1.048,1428.0
38,1.211,1183.5
39,1.185,1222.5
40,0.313,2530.5
41,1.397,904.5
42,1.056,1416.0
43,0.867,1699.5
44,0.855,1717.5
45,0.796,1806.0
46,0.759,1861.5
47,1.031,1453.5
48,0.697,1954.5
49,0.175,2737.5
50,1.422,867.0
51,0.037,2944.5
53,0.784,1824.0
54,0.844,1734.0
55,0.62,2070.0
56,0.593,2110.5
57,0.567,2149.5
58,0.759,1861.5
59,1.335,997.5
60,1.373,940.5
61,1.39,915.0
62,0.918,1623.0
63,1.639,541.5
64,1.21,1185.0
65,1.59,615.0
66,0.171,2743.5
67,0.699,1951.5
68,1.12,1320.0
69,0.364,2454.0
70,1.22,1170.0
71,0.748,1878.0
72,0.723,1915.5
73,0.824,1764.0
74,0.198,2703.0
75,0.037,2944.5
76,0.181,2728.5
77,0.134,2799.0
78,0.72,1920.0
79,0.747,1879.5
80,1.421,868.5
81,1.804,294.0
82,0.266,2601.0
83,0.36,2460.0
84,1.979,31.5
85,1.65,525.0
86,1.436,846.0
87,0.438,2343.0
88,0.771,1843.5
89,1.131,1303.5
90,0.47,2295.0
91,0.198,2703.0
92,0.281,2578.5
94,1.819,271.5
95,1.382,927.0
96,0.386,2421.0
97,0.783,1825.5
98,0.858,1713.0
99,0.711,1933.5
100,1.53,705.0
101,1.326,1011.0
102,1.289,1066.5
103,0.171,2743.5
104,0.795,1807.5
105,0.567,2149.5
106,1.946,81.0
107,1.483,775.5
108,1.514,729.0
109,1.287,1069.5
110,1.144,1284.0
111,0.189,2716.5
112,0.676,1986.0
113,0.639,2041.5
114,0.574,2139.0
115,1.836,246.0
116,0.438,2343.0
117,0.051,2923.5
118,1.65,525.0
119,1.47,795.0
120,1.399,901.5
121,0.554,2169.0
122,0.518,2223.0
123,0.373,2440.5
124,0.422,2367.0
125,0.037,2944.5
126,0.364,2454.0
127,0.386,2421.0
128,0.814,1779.0
129,0.915,1627.5
130,0.393,2410.5
131,0.643,2035.5
132,0.226,2661.0
133,0.46,2310.0
134,0.422,2367.0
135,0.387,2419.5
136,0.422,2367.0
137,0.515,2227.5
138,0.573,2140.5
139,0.454,2319.0
140,0.688,1968.0
141,0.475,2287.5
142,0.494,2259.0
143,1.289,1066.5
144,0.578,2133.0
145,0.578,2133.0
146,0.507,2239.5
148,0.489,2266.5
149,1.951,73.5
